Pool no,Order,Sample,Average Ct,Volume in pool,Raw reads,After trimming,Coverage trimming,After mapping,After mapping
1,2,CTT13HC,10.76331997,15.53,30708677,,0,,0
1,7,CTT01HC,10.78565836,15.77,34983346,,0,,0
1,12,CTT24HC,10.81601954,16.11,30626315,,0,,0
1,18,CTT15HC,10.89358425,17,23760900,,0,,0
2,20,CTT21HC,11.03637886,14.49,20778375,,0,,0
2,14,CTT07HC,11.10228872,15.17,16366789,,0,,0
2,3,CTT22HC,11.18450212,16.06,27713011,,0,,0
2,4,CTT19HC,11.26666689,17,33421948,,0,,0
3,22,CTT23HC,11.28778172,14.35,16425603,,0,,0
3,6,CTT12HC,11.45553684,16.12,25982407,,0,,0
3,16,CTT17HC,11.52672863,16.94,25344994,,0,,0
3,9,CTT05HC,11.53216839,17,29665004,,0,,0
4,11,CTT02HC,11.55566645,16.02,21935630,,0,,0
4,23,CTT11HC,11.5964632,16.48,25808050,,0,,0
4,13,CTT25HC,11.60114145,16.54,25312759,,0,,0
4,10,CTT26HC,11.64099979,17,22920124,,0,,0
5,5,CTT08HC,11.89786959,10.42,21367900,,0,,0
5,19,CTT06HC,12.11524153,12.12,16794314,,0,,0
5,21,CTT09HC,12.24146986,13.23,15204509,,0,,0
5,8,CTT20HC,12.60347891,17,43582430,,0,,0
6,1,CTT18HC,12.62306499,9.81,41138969,,0,,0
6,15,CTT16HC,12.90140676,11.9,18682179,,0,,0
6,24,CTT10HC,13.11675835,13.82,19538291,,0,,0
6,17,CTT03HC,13.41594696,17,21919308,,0,,0
MIXED_1,2,CTT04HC,7.472645044,14.48986887,22081176,,0,,0
MIXED_2,1,CTT14HC,8.866156101,14.8366732,28164947,,0,,0
