"","Number_of_Sites","Min_Read_Depth","1st_Quantile_Read_Depth","Mean_Read_Depth","Median_Read_Depth","3rd_Quantile_Read_Depth","Max_Read_Depth","Sites:Read_Depth_10","Percentage_Sites:Read_Depth_10"
"CTT04HC",1668579,1,3,21.8632872641931,8,18,6801010,740008,44.3495932766743
"CTT14HC",1497000,1,6,33.2887762191049,15,33,6571408,974699,65.1101536406146
"CTT01HC",2473953,1,6,32.1089454811793,18,38,4496764,1650928,66.7323914399344
"CTT02HC",2174205,1,5,22.4370323865505,12,24,3787960,1230755,56.6071276627549
"CTT03HC",2050664,1,6,33.0733689185552,16,37,858666,1336630,65.1803513398587
"CTT05HC",2318479,1,5,28.0104102732869,15,31,5627613,1460403,62.9897014378823
"CTT06HC",1879316,1,5,20.7306796728171,11,23,2734330,1054086,56.0888110355044
"CTT07HC",2071022,1,4,16.8449741238867,9,18,3066620,968306,46.7549837712975
"CTT08HC",2022223,1,6,23.0437844886543,13,25,3347682,1204441,59.5602463229822
"CTT09HC",1792203,1,5,18.8123103242211,10,20,2844701,912821,50.9329021321803
"CTT10HC",1982140,1,6,24.3879705772549,14,28,2099997,1235255,62.3192610007366
"CTT11HC",2152622,1,5,26.2349070110777,13,27,4976893,1280892,59.5038051269568
"CTT12HC",2287730,1,5,25.3300170911777,14,28,4505222,1401072,61.2428914251245
"CTT13HC",2513356,1,5,31.0012899087913,18,39,3727289,1638701,65.1997170317297
"CTT15HC",2419865,1,5,25.4422498775758,15,32,2910890,1473752,60.902240414238
"CTT16HC",1945382,1,5,23.1289381725543,12,26,2015711,1133305,58.2561676832622
"CTT17HC",2267156,1,5,26.8605843620818,15,31,4093533,1412122,62.2860535402063
"CTT18HC",2161094,1,8,43.2118926802814,21,45,8145406,1542237,71.3637167101477
"CTT19HC",2374427,1,5,32.6645548589196,16,36,5812577,1522214,64.1086881171752
"CTT20HC",2223296,1,6,36.3888681489104,18,39,5572794,1483322,66.7172522237255
"CTT21HC",2177243,1,4,21.9768909579684,12,24,3323731,1223932,56.2147633497961
"CTT22HC",2275744,1,5,24.6657014145704,13,26,5401365,1357198,59.6375514996414
"CTT23HC",2109897,1,4,18.2584377341643,10,21,2607127,1114425,52.8189290756847
"CTT24HC",2474604,1,5,34.3297335654513,20,45,2684474,1628744,65.8183693229301
"CTT25HC",2110135,1,6,25.3696673435586,13,27,5042304,1281548,60.7329862781291
"CTT26HC",2120053,1,5,21.8302622623114,11,22,5095648,1172623,55.3110228848052
