Pool no,Order,Sample,Average Ct,Volume in pool,Raw reads,After trimming,Coverage trimming,After mapping,After mapping
1,19,CTT07HPT,5.450056553,8.06,47890522,,0,,0
1,18,CTT24HPT,6.13879323,12.99,31415195,,0,,0
1,20,CTT23HPT,6.398553133,15.55,32565047,,0,,0
1,7,CTT03HPT,6.527374983,17,27288272,,0,,0
2,9,CTT08HPT,6.689436913,15.97,24946318,,0,,0
2,8,CTT25HPT,6.708438396,16.18,47607001,,0,,0
2,6,CTT20HPT,6.743564844,16.58,21719778,,0,,0
2,24,CTT15HPT,6.779498577,17,33370887,,0,,0
3,3,CTT13HPT,7.067632437,15.13,33112156,,0,,0
3,21,CTT26HPT,7.070458174,15.16,30411855,,0,,0
3,5,CTT10HPT,7.09713912,15.44,37051122,,0,,0
3,13,CTT02HPT,7.235548258,17,27202426,,0,,0
4,2,CTT01HPT,7.43505311,15.46,50993766,,0,,0
4,4,CTT17HPT,7.457193851,15.7,38381179,,0,,0
4,22,CTT22HPT,7.462100983,15.75,34158207,,0,,0
4,23,CTT18HPT,7.572346687,17,42512653,,0,,0
5,1,CTT21HPT,7.820949554,13,42749095,,0,,0
5,11,CTT06HPT,7.864686012,13.4,33676143,,0,,0
5,10,CTT09HPT,8.120290279,16,32738595,,0,,0
5,14,CTT11HPT,8.208037376,17,31079775,,0,,0
6,12,CTT19HPT,8.3302145,10.36,78624306,,0,,0
6,17,CTT16HPT,8.36019516,10.37,87011532,,0,,0
6,16,CTT05HPT,9.588532925,10.86,40109391,,0,,0
6,15,CTT12HPT,13.89645863,22,6311754,,0,,0
7,4,CTT04HPT,9.27254343,16.54248136,25737062,,0,,0
8,3,CTT14HPT,6.932837611,9.501924992,25915878,,0,,0
