"","Number_of_Sites","Min_Read_Depth","1st_Quantile_Read_Depth","Mean_Read_Depth","Median_Read_Depth","3rd_Quantile_Read_Depth","Max_Read_Depth","Sites:Read_Depth_10","Percentage_Sites:Read_Depth_10"
"CTT04HPT",1331364,1,8,38.1989012771864,20,42,4229791,967134,72.6423427402273
"CTT14HPT",383191,1,10,102.07438588067,56,119,7167404,289877,75.6481754529725
"CTT01HPT",2407772,1,6,36.517816055673,20,45,4152205,1610894,66.9039261192505
"CTT02HPT",2067535,1,3,17.0303835243418,8,16,3896371,878974,42.5131376252397
"CTT03HPT",2185723,1,4,18.8759916055237,10,20,3092083,1104605,50.5372821716201
"CTT05HPT",1274594,1,3,48.6558802253894,18,63,1993112,741620,58.1848023762861
"CTT06HPT",2005426,1,6,26.5398030144219,14,30,3687966,1238249,61.7449359886628
"CTT07HPT",2424706,1,5,27.3197583542087,15,30,5572780,1503621,62.0125079081753
"CTT08HPT",1980421,1,3,16.5512858124611,8,16,4342995,833334,42.0786287360112
"CTT09HPT",1892142,1,5,23.7661481009353,12,25,4529145,1089798,57.5959943809714
"CTT10HPT",2277403,1,5,25.0204447785482,13,28,3290390,1352291,59.378643129916
"CTT11HPT",1884553,1,6,26.2296953176695,14,29,3134823,1160903,61.600973811827
"CTT12HPT",578845,1,1,26.1244979225872,3,40,143331,246147,42.5238189843568
"CTT13HPT",2174698,1,4,20.7863859717533,10,22,3955072,1135756,52.2259182654327
"CTT15HPT",2152167,1,4,21.1846492395804,10,21,4797539,1142431,53.0828230337144
"CTT16HPT",1588018,1,6,94.7905458250473,38,115,4909410,1103723,69.5031794349938
"CTT17HPT",2306780,1,6,29.4012784053963,17,36,2693011,1489816,64.5842256305326
"CTT18HPT",2346584,1,6,28.8320857041555,16,34,3884936,1496995,63.7946478796412
"CTT19HPT",1544775,1,6,87.4207143435128,38,108,3241736,1079626,69.88888349436
"CTT20HPT",1987117,1,3,14.5966699494796,7,14,2892521,777932,39.1487768460539
"CTT21HPT",2004421,1,8,33.4602176887989,18,37,5191012,1392480,69.4704356021016
"CTT22HPT",2286546,1,5,22.0608004387404,12,26,3080078,1308104,57.208733172217
"CTT23HPT",2278605,1,4,19.1946559408059,10,20,4148260,1144747,50.2389400532343
"CTT24HPT",2234907,1,4,18.9463006738088,9,20,4286392,1101845,49.3016040488486
"CTT25HPT",2299178,1,4,25.0023073463647,11,24,6517594,1234705,53.7020187214735
"CTT26HPT",2140641,1,4,20.1862853229477,10,21,3824045,1123378,52.4785800141173
