"","Number_of_Sites","Min_Read_Depth","1st_Quantile_Read_Depth","Mean_Read_Depth","Median_Read_Depth","3rd_Quantile_Read_Depth","Max_Read_Depth","Sites:Read_Depth_10","Percentage_Sites:Read_Depth_10"
"CTT04PFC",345411,1,16,97.2742500962621,84,127,850482,271508,78.6043293351978
"CTT14PFC",1428086,1,5,31.4771813462214,14,30,5545322,873643,61.1757975360027
"CTT01PFC",1734032,1,4,38.4051476558679,16,45,2993770,1040111,59.9822263948993
"CTT02PFC",2446312,1,4,22.4941973877412,10,21,7013211,1244964,50.8914643757624
"CTT03PFC",2472011,1,4,20.8845599797088,10,21,5912449,1307447,52.890015457051
"CTT05PFC",1522412,1,3,13.7996127198157,7,13,3051240,546285,35.8828621949906
"CTT06PFC",2446062,1,4,21.2733123690242,11,23,4873383,1312361,53.6519924678933
"CTT07PFC",1856013,1,5,56.8617013997208,22,64,3712878,1197943,64.5438905869733
"CTT08PFC",1524743,1,5,76.2478843975673,30,95,173765,1032300,67.7032129349012
"CTT09PFC",2478370,1,3,20.7526555760439,11,24,3869310,1314358,53.0331629256326
"CTT10PFC",2007969,1,4,20.2282116905191,8,18,5979843,917390,45.6874583223147
"CTT11PFC",2196384,1,2,11.840366256538,5,11,3415232,639485,29.1153550563107
"CTT12PFC",2619600,1,6,33.6754160940602,17,38,5465042,1701142,64.9389983203543
"CTT13PFC",2662670,1,4,22.1524657580549,11,24,5275327,1466817,55.0882009411606
"CTT15PFC",2762414,1,2,15.590475214794,7,17,3834763,1150820,41.6599394587488
"CTT16PFC",2451977,1,4,25.6147573978059,12,26,7184681,1371076,55.9171639864485
"CTT17PFC",2195036,1,4,28.5092335615452,13,32,1546339,1289912,58.7649587523849
"CTT18PFC",2197018,1,3,15.4140380279087,8,17,2086923,935438,42.5776211209922
"CTT19PFC",1948061,1,4,19.7935408593468,9,18,6085866,910282,46.7275922057882
"CTT20PFC",2349359,1,4,18.6700998016906,9,20,3090301,1138042,48.4405320770474
"CTT21PFC",2354577,1,2,10.386598527039,6,11,2160056,726629,30.8602776634614
"CTT22PFC",2076692,1,3,13.637205228315,6,13,3669206,764354,36.8063246740489
"CTT23PFC",1275614,1,1,3.03088943834107,2,3,598666,31011,2.43106456968958
"CTT24PFC",2055548,1,4,23.0981485229243,10,21,7036012,1032130,50.2119142924417
"CTT25PFC",1766755,1,7,72.3507158604334,30,87,2639092,1239836,70.1758874320435
"CTT26PFC",2399797,1,3,19.2265658303598,8,18,6073590,1091264,45.4731796064417
